pathway,os_pval,os_pval.adj,os_hr,os_hr.ci.lower,os_hr.ci.upper,os_hr.pval,os_hr.pval.adj,pfs_pval,pfs_pval.adj,pfs_hr,pfs_hr.ci.lower,pfs_hr.ci.upper,pfs_hr.pval,pfs_hr.pval.adj
Qiagen_1.5_AHR_Pathway,0.245631757714888,0.999814837477192,0.553552027141925,0.201029572469385,1.52425259124301,0.252476298639114,0.999814837476907,0.713998665387049,0.993749698589734,1.1003377669074,0.659971476462174,1.83453868002454,0.713904000694757,0.993968306596586
Qiagen_1.5_AHR_Pathway_C-myc_expression_via_RELA,0.0553474400837598,0.999814837477192,0.369494029452253,0.127990745100089,1.06668523332761,0.0656774846669579,0.999814837476907,0.706974455194022,0.993749698589734,1.10343693334082,0.660600760370209,1.84312997941185,0.706891483856586,0.993968306596586
Qiagen_1.5_AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,0.843405560757471,0.999814837477192,1.10387696630414,0.413898586903598,2.94406503257921,0.843468071974195,0.999814837476907,0.362190781486621,0.975346932110178,1.26851586459758,0.759699966086129,2.11811579645814,0.363198538311426,0.978419275869526
Qiagen_1.5_AHR_Pathway_Cath_D_expression_via_SP1,0.0680721749188681,0.999814837477192,0.386664007184352,0.134083148090812,1.11504731639058,0.0786727746723598,0.999814837476907,0.64492715829635,0.993749698589734,1.12810663498617,0.675594737531947,1.88371002496098,0.644939225803999,0.993968306596586
Qiagen_1.5_AHR_Pathway_PS2_Gene_expression_via_ESR1,0.050214295024039,0.999814837477192,0.361834426707242,0.125250051217304,1.04530218613173,0.0603662973748462,0.999814837476907,0.738072926853659,0.993749698589734,1.09157741683453,0.653317072696504,1.82383303106587,0.737950618620167,0.993968306596586
Qiagen_1.5_ATM_Pathway,0.867600034000572,0.999814837477192,1.08694368893408,0.407757468469232,2.89742475434944,0.867637907280438,0.999814837476907,0.812975053407531,0.993749698589734,0.940159817812025,0.563835672214203,1.56765619237469,0.81301287468795,0.993968306596586
Qiagen_1.5_ATM_Pathway_Apoptosis,0.558766026776411,0.999814837477192,1.34132972005846,0.499426794940617,3.60246073326127,0.560174276154204,0.999814837476907,0.0400317267468735,0.911289790515006,1.71904728330002,1.018462631247,2.90155325444092,0.0425133052903656,0.962830864689469
Qiagen_1.5_ATM_Pathway_Apoptosis_and_Senescence,0.788891175898875,0.999814837477192,1.14337028675704,0.428486197850591,3.05096317966983,0.789043867159528,0.999814837476907,0.489000539584895,0.988040006765767,1.19760530716108,0.718052254982381,1.99742910322813,0.489618975693154,0.988614577861764
Qiagen_1.5_ATM_Pathway_Cell_Cycle_Checkpoint_Control,0.344055853412017,0.999814837477192,0.616345700641257,0.223975210630217,1.69608958790599,0.348748513488741,0.999814837476907,0.399700175372832,0.978746074445491,1.2457144004634,0.746254066764348,2.07945850700726,0.400681401244102,0.980779714735865
Qiagen_1.5_ATM_Pathway_Cell_Survival,0.407261093751475,0.999814837477192,1.51508612040506,0.56319026051484,4.07586230299088,0.410587505649086,0.999814837476907,0.942974341826174,0.997682051788311,0.981495362169958,0.58832277822259,1.63742282573439,0.942977466890427,0.997679024227114
Qiagen_1.5_ATM_Pathway_Checkpoint_Activation,0.59471632084358,0.999814837477192,0.75966530644704,0.27508881165598,2.09783660173345,0.595849737389384,0.999814837476907,0.854079926299988,0.993749698589734,0.952849062104811,0.569887821538444,1.59315798801075,0.853884147832522,0.993968306596586
Qiagen_1.5_ATM_Pathway_DNA_repair,0.137992975755819,0.999814837477192,0.458287061243054,0.159202844892334,1.31924169222498,0.148070926496305,0.999814837476907,0.617165597210991,0.993749698589734,1.13903125201328,0.683228666834007,1.89891357907286,0.617636545565917,0.993968306596586
Qiagen_1.5_ATM_Pathway_G2-Mitosis_progression,0.322139909346233,0.999814837477192,0.602822773052107,0.218979614082617,1.65949372608324,0.327276825437484,0.999814837476907,0.199279988333009,0.972687366581897,0.714136307591134,0.426034665559878,1.19706377684006,0.201434766010567,0.978419275869526
